# VGN-Haltestellen (ZHV/DELFI, gefiltert auf VGN-Bounding-Box)
# Offizielle Quelle zum Aktualisieren: https://www.vgn.de/opendata/GTFS.zip
# Lizenz: CC BY 3.0 DE — VGN – Verkehrsverbund Großraum Nürnberg GmbH
id	name
de:09571:13296	Abzw. Lindach (b. Rügland)
de:09575:14373	Abzw. Linden (b.Gerhardshofen)
de:09577:16492	Abzw. Lindenbühl
de:09375:28	Abzw. Loch
de:09472:23234	Abzw. Lochau (b. Eckersdorf)
de:09373:17295	Abzw. Loderbach
de:09376:1093	Abzw. Loisnitz
de:09571:13683	Abzw. Lölldorf
de:09472:22666	Abzw. Lüglas
de:09474:9825	Abzw. Lützelsdorf
de:09273:81060	Abzw. Maierhofen
de:09373:17468	Abzw. Mallerstetten
de:09375:1023	Abzw. Mannsdorf
de:09577:16535	Abzw. Mariabrunn
de:09373:17467	Abzw. Martlhof
de:09373:17967	Abzw. Matzenhof (b. Velburg)
de:09472:23235	Abzw. Melkendorf/Eckersd. B22
de:09472:23169	Abzw. Mergners
de:09473:5956	Abzw. Merkendorf (Lkr. CO)
de:09373:17636	Abzw. Mettenhofen
de:09571:12288	Abzw. Meuchlein
de:09371:19441	Abzw. Mimbach
de:09561:11401	Abzw. Mittelbach
de:09571:12911	Abzw. Mittelramstadt
de:09373:17346	Abzw. Mittelricht
de:09474:9150	Abzw. Moggast
de:09472:23582	Abzw. Moritzreuth
de:09474:9373	Abzw. Moschendorf
de:09574:7415	Abzw. Mosenhof
de:09576:8473	Abzw. Mäbenberg
de:09576:8236	Abzw. Mörlach (b.Hilpoltst.)
de:09373:17525	Abzw. Mörsdorf
de:09472:23156	Abzw. Münchs
de:09472:22672	Abzw. Nemschenreuth
de:09472:23298	Abzw. Neugrün/Hüttstadl
de:09471:21573	Abzw. Neuhausen (b. Priesend.)
de:09373:17343	Abzw. Neuricht (b. Berngau)
de:09472:23584	Abzw. Neß
de:09375:29	Abzw. Niedergebraching
de:09576:8681	Abzw. Niedermauck
de:09371:18256	Abzw. Nonnhof (b. Birgland)
de:09577:16174	Abzw. Nordstetten
de:09571:13525	Abzw. Oberaumühle
de:09576:8687	Abzw. Oberbreitenlohe
de:09576:8479	Abzw. Oberheckenhofen
de:09571:12292	Abzw. Oberhegenau
de:09577:16284	Abzw. Oberheumödern
de:09571:12824	Abzw. Oberheßbach
de:09571:12795	Abzw. Oberkemmathen
de:09571:13822	Abzw. Obermichelb. (Wittelsh.)
de:09373:17537	Abzw. Oberndorf (b. Freystadt)
de:09371:19047	Abzw. Oberreinbach
de:09575:14246	Abzw. Oberroßbach (Dietersh.)
de:09571:13504	Abzw. Oberschwaningen
de:09678:29267	Abzw. Oberschwarzach
de:09472:23237	Abzw. Oberwaiz
de:09577:16624	Abzw. Oberweiler (b. Meinheim)
de:09577:16177	Abzw. Oberwurmbach
de:09373:17787	Abzw. Oedenthurn
de:09472:23159	Abzw. Ottenberg
de:09674:27381	Abzw. Ottendorf
de:09373:17476	Abzw. Ottmaring
de:09373:17977	Abzw. Pathal
de:09474:9447	Abzw. Pautzfeld
de:09375:31	Abzw. Pentling
de:09474:6219	Abzw. Pettensiedel
de:09373:17901	Abzw. Pfeffertshofen
de:09574:7883	Abzw. Pfeifferhütte
de:09678:27384	Abzw. Pfersdorf/B 19
de:09576:8325	Abzw. Pflugsmühle
de:09373:17592	Abzw. Pillmannsricht
de:09472:23704	Abzw. Plösen
de:09574:7329	Abzw. Pollanden
de:09474:9621	Abzw. Pommer
de:09471:21613	Abzw. Poppendorf (b.Rattelsd.)
de:09576:8611	Abzw. Poppenreuth (b.Kammerst)
de:09472:22839	Abzw. Pottenstein
de:09371:18115	Abzw. Prangershof
de:09371:18663	Abzw. Pruppach (b. Hirschbach)
de:09373:17865	Abzw. Pruppach (b. Pyrb.)
de:09576:8107	Abzw. Pruppach (b.Roth)
de:09478:27473	Abzw. Prügel
de:09474:9375	Abzw. Prügeldorf
de:09472:22870	Abzw. Rackersberg
de:09373:17983	Abzw. Rammersberg (b. Velburg)
de:09373:17388	Abzw. Rasch (b.Breitenbr./NM)
de:09371:18168	Abzw. Rauhenstein
de:09576:8379	Abzw. Reckenricht
de:09375:1067	Abzw. Regendorf
de:09474:9667	Abzw. Regensberg
de:09375:34	Abzw. Reichenstetten
de:09371:18789	Abzw. Reichertsfeld
de:09373:17819	Abzw. Reichertshofen
de:09474:9857	Abzw. Reifenberg
de:09571:13121	Abzw. Reuth (b.Neuendettelsau)
de:09373:17309	Abzw. Richtheim (b. Berg/NM)
de:09375:303	Abzw. Rieb
de:09373:17311	Abzw. Riebling
de:09373:17937	Abzw. Riedhof (b. Seubersdorf)
de:09375:41	Abzw. Riegling/Kleinprüf.
de:09472:23731	Abzw. Ringau
